KOD,NAZEV,LATNAZEV,ANAZEV,DOD,DDO,NEPLATNOST
N7203,Mediální a komunikační studia (kombinované),,,,,
N7310,Filologie,,Philology,,,
N7311,Anglistika - amerikanistika,,English and American Studies,,,
N7312,Čeština v komunikaci neslyšících,,Deaf Studies,,,
N7313,Překladatelství a tlumočnictví,,Translation and Interpreting,,,
N7401,Tělesná výchova a sport,,Physical Education and Sport,,,
N7403,Kinantropologie,,Kinanthropology,,,
N7501,Pedagogika,,Pedagogy,,,
N7502,Sociální péče,,,,,
N7503,Učitelství pro základní školy,,,,,
N7504,Učitelství pro střední školy,,Teacher Training for Secondary Schools,,,
N7505,Vychovatelství,,,,,
N7506,Speciální pedagogika,,Special Education,,,
N7507,Specializace v pedagogice,,Specialization in Education,,,
N7508,Sociální práce,,Social Work,,,
N7510,Učitelství pro střední školy a vyšší odborné školy,,,,,
N7531,Předškolní a mimoškolní pedagogika,,,,,
N7534,Učitelství pro střední školy (tříleté),,,,,
N7535,Erasmus Mundus - Special Education Needs,,Erasmus Mundus - Special Education Needs,,,
N7539,Special and Inclusive Education (Erasmus Mundus),,Special and Inclusive Education (Erasmus Mundus),,,
N7701,Psychologie,,Psychology,,,
N7702,Psychologie (kombinované),,,,,
N8101,Teorie a dějiny výtvarných umění,,,,,
N8102,Teorie a dějiny hudebního umění,,,,,
N8103,Teorie a dějiny tanečního umění,,,,,
N8104,"Teorie a dějiny divadla, filmu a masmédií",,,,,
N8106,Teorie a dějiny literatury,,,,,
N8109,Obecná teorie a dějiny umění a kultury,,Theory and History of Art and Culture,,,
N8110,Teorie a dějiny hudby,,,,,
N8201,Hudební umění,,,,,
N8202,Taneční umění,,,,,
N8203,Dramatická umění,,,,,
N8204,"Filmové, televizní a fotografické umění a nová média",,,,,
N8206,Výtvarná umění,,,,,
N8207,Literární tvorba,,,,,
N8208,Design,,,,,
N8209,Teorie a praxe audiovizuální tvorby,,,,,
N8210,Visual Arts,,Visual Arts,,,
N8211,"Film, Television and Photography",,"Film, Television and Photography",,,
N8213,Design nábytku,,,,,
N8214,Mediální tvorba,,,,,
N8215,Dramatická umění (tříleté),,,,,
N8217,"Film, Television and Photography (tříleté)",,,,,
N8218,"Filmové, televizní a fotografické umění a nová média (tříleté)",,,,,
N9101,Teorie obrany státu,,,,,
N9107,Vojenská geodézie a kartografie,,,,,
N9108,Vojenská logistika,,,,,
N9109,Teorie řízení a bojového použití jednotek pozemního vojska,,,,,
N9111,Ochrana vojsk a obyvatelstva,,,,,
N9115,Vojenské specializace,,,,,
N9116,Teorie řízení a použití jednotek a útvarů pozem. sil a sil územní obrany Armády ČR,,,,,
N9117,Teorie řízení a použití jednotek a útvarů pozemního vojska a sil územní obrany,,,,,
N9507,Vojenský zdravotnický management,,,,,
P1101,Matematika,,Mathematics,,,
P1102,Matematika (čtyřletá),,,,,
P1103,Aplikovaná matematika,,Applied Mathematics,,,
P1104,Aplikovaná matematika (čtyřleté),,Applied Mathematics (čtyřleté),,,
P1201,Geologie,,Geology,,,
P1202,Aplikovaná geologie,,Applied Geology,,,
P1203,Geologie (čtyřletá),,,,,
P1301,Geografie,,,,,
P1302,Kartografie,,,,,
P1303,Demografie,,Demography,,,
P1304,Geografie a kartografie,,,,,
P1305,Aplikovaná geografie,,,,,
P1306,Fyzická geografie a geoekologie,,Physical Geography and Geoecology,,,
P1307,Kartografie a geoinformatika,,,,,
P1308,Regionální a politická geografie,,Regional and Political Geography,,,
P1309,Sociální geografie a regionální rozvoj,,Social Geography and Regional Development,,,
P1310,"Kartografie, geoinformatika a dálkový průzkum Země",,"Cartography, Geoinformatics and Remote Sensing",,,
P1314,Geografie (čtyřletá),,,,,
P1315,Obecné otázky geografie,,General Issues in Geography,,,
P1401,Anorganická chemie,,Inorganic Chemistry,,,
P1402,Organická chemie,,Organic Chemistry,,,
P1403,Analytická chemie,,Analytical Chemistry,,,
P1404,Fyzikální chemie,,Physical Chemistry,,,
P1405,Makromolekulární chemie,,Macromolecular Chemistry,,,
P1406,Biochemie,,Biochemistry,,,
P1407,Chemie,,Chemistry,,,
P1408,Jaderná chemie,,,,,
P1409,Aplikovaná biochemie,,,,,
P1410,Biochemie (tříleté),,,,,
P1411,Chemie (tříleté),,,,,
P1412,Biochemie a patobiochemie,,Biochemistry and Pathobiochemistry,,,
P1414,Vzdělávání v chemii,,Education in Chemistry,,,
P1415,Modelování chemických vlastností nano- a biostruktur,,Modelling of Chemical Properties of Nano- and Biostructures,,,
P1416,Biochemie (čtyřletá),,,,,
P1417,Chemie (čtyřletá),,Chemistry,,,
P1418,Anorganická chemie (čtyřleté),,,,,
P1419,Analytická chemie (čtyřleté),,,,,
P1420,Fyzikální chemie (čtyřleté),,,,,
P1421,Organická chemie (čtyřleté),,,,,
P1422,Makromolekulární chemie (čtyřleté),,,,,
P1423,Didaktika chemie,,Didactics of Chemistry,,,
P1501,Biologie,,Biology,,,
P1502,Zoologie,,Zoology,,,
P1504,Genetika,,,,,
P1507,Botanika,,Botany,,,
P1510,Mikrobiologie,,Microbiology,,,
P1511,Fyziologie a imunologie,,,,,
P1512,Antropologie,,Anthropology,,,
P1513,Biofyzika,,,,,
P1514,Ekologie,,Ecology,,,
P1515,Molekulární a buněčná biologie,,,,,
P1516,Biologie a patologie buňky,,Cell Biology and Pathology,,,
P1517,Imunologie,,Immunology,,,
P1519,"Molekulární a buněčná biologie, genetika a virologie",,"Molecular and Cellular Biology, Genetics and Virology",,,
P1520,Vývojová biologie,,Developmental Biology,,,
P1521,Fyziologie živočichů,,Animal Physiology,,,
P1522,Parazitologie,,Parasitology,,,
P1523,Biologie člověka,,,,,
P1524,Anatomie a fyziologie rostlin,,Plant Anatomy and Physiology,,,
P1525,Antropologie a genetika člověka,,Anthropology and Human Genetics,,,
P1526,Teoretická a evoluční biologie,,Theoretical and Evolutionary Biology,,,
P1527,Biologie (čtyřleté),,,,,
P1528,Mikrobiologie (čtyřleté),,Microbiology,,,
P1529,Vývojová a buněčná biologie,,Developmental and Cell Biology,,,
P1532,Vědy o živé přírodě,,,,,
P1601,Ekologie a ochrana prostředí,,Ecology and Environmental Protection,,,
P1602,Environmentální studia,,Environmental Studies,,,
P1603,Ekologie,,,,,
P1604,Ochrana prostředí,,,,,
P1606,Ekologie a ochrana prostředí (čtyřleté),,Ecology and Enviromental Protection (čtyřleté),,,
P1701,Fyzika,,Physics,,,
P1702,Aplikovaná fyzika,,,,,
P1703,Fyzika (čtyřletá),,,,,
P1801,Informatika,,Informatics,,,
P1802,Aplikovaná informatika,,Applied Informatics,,,
P1803,Informatika a druhý obor,,,,,
P1804,Biomedicínská informatika,,Biomedical Informatics,,,
P1805,Informatika (čtyřletá),,,,,
P1807,"Informatika, komunikační technologie a aplikovaná matematika",,,,,
P2101,Hornictví a geologie,,,,,
P2102,Nerostné suroviny,,Mineral Raw Materials,,,
P2106,Metalurgie,,Metallurgy,,,
P2108,Metalurgická technologie,,,,,
P2109,Metalurgické inženýrství,,Metallurgical Engineering,,,
P2110,Geologické inženýrství,,,,,
P2111,Hornictví,,,,,
P2112,Řízení výrobních procesů,,,,,
P2114,Metalurgie (čtyřleté),,Metallurgy (čtyřleté),,,
P2301,Strojní inženýrství,,Mechanical engineering,,,
P2302,Stroje a zařízení,,Machines and equipment,,,
P2303,Strojírenská technologie,,Engineering technology,,,
P2304,Vojenská technika strojní,,,,,
P2305,Strojírenství se zaměřením na ekonomiku a řízení,,,,,
P2306,Letecká a raketová technika,,,,,
P2346,Strojní inženýrství (čtyřleté),,,,,
P2601,Slaboproudá elektrotechnika,,,,,
P2602,Elektrotechnologie,,,,,
P2608,Elektrotechnika se zaměřením na ekonomiku a řízení,,,,,
P2609,Elektrotechnická specializace,,,,,
P2611,Vojenská technika - elektrotechnická,,,,,
P2612,Elektrotechnika a informatika,,Electrical Engineering and Informatics,,,
P2613,Elektrotechnika a komunikační technologie,,,,,
P2642,Silnoproudá elektrotechnika,,,,,
P2643,"Elektrotechnika, elektronika, komunikační a řídicí technika",,,,,
P2644,Aplikovaná elektrotechnika,,,,,
P2645,"Elektrotechnika, sdělovací a výpočetní technika",,,,,
P2646,Informační technologie,,,,,
P2649,Elektrotechnika,,Electrical Engineering,,,
P2651,Výpočetní technika a informatika,,,,,
P2658,Výpočetní vědy,,Computational Sciences,,,
P2801,Chemie a chemické technologie,,Chemistry and Chemical Technologies,,,
P2802,Chemie a technická chemie,,,,,
P2804,Vojenská chemie,,,,,
P2805,Chemie a technologie ochrany životního prostředí,,Environmental Chemistry and Technology,,,
P2806,Spotřební chemie,,,,,
P2807,Chemické a procesní inženýrství,,Chemical and Process Engineering,,,
P2808,Chemie a technologie materiálů,,Chemistry and Technology of Materials,,,
P2810,Biochemie a biotechnologie,,Biochemistry and Biotechnology,,,
P2811,Chemie a technologie paliv,,Chemistry and Technology of Fuels,,,
P2812,Biotechnologie odpadů,,,,,
P2820,"Chemie, technologie a vlastnosti materiálů",,,,,
P2824,Syntéza a výroba léčiv,,Synthesis and Production of Drugs,,,
P2825,Ochrana obyvatelstva,,,,,
P2826,Technologie odpadů,,,,,
P2832,Chemie a chemické technologie (čtyřleté),,Chemistry and Chemical Technologies,,,
P2833,Chemie a technologie materiálů (čtyřleté),,Chemistry and Technology of Materials,,,
P2834,Chemie a technologie ochrany životního prostředí (čtyřleté),,Environmental Chemistry and Technology,,,
P2835,Chemie a technologie paliv a prostředí (čtyřleté),,Chemistry and Technology of Fuels and Environment,,,
P2836,Biochemie a biotechnologie (čtyřleté),,Biochemistry and Biotechnology,,,
P2837,Chemické a procesní inženýrství (čtyřleté),,Chemical and Process Engineering,,,
P2843,Chemistry and Technology,,,,,
P2901,Chemie a technologie potravin,,Food Chemistry and Technology,,,
P2906,Chemie a technologie potravin (čtyřleté),,Food Chemistry and Technology,,,
P3106,Textilní inženýrství,,Textile Engineering,,,
P3201,"Technologie a zařízení pro zpracování kůže, plastů a pryže",,,,,
P3301,Dřevařské inženýrství,,,,,
P3304,Procesy tvorby nábytku,,,,,
P3441,Polygrafie,,,,,
P3501,Architektura a urbanismus,,Architecture and Urbanism,,,
P3502,Architektura a stavitelství,,,,,
P3602,Geomatika,,,,,
P3606,Vojenské stavby,,,,,
P3607,Stavební inženýrství,,Civil Engineering,,,
P3608,Pozemní stavby a architektura,,,,,
P3646,Geodézie a kartografie,,,,,
P3647,Stavebnictví,,,,,
P3655,Stavební inženýrství (čtyřleté),,Civil Engineering (čtyřleté),,,
P3706,Dopravní a spojová infrastruktura,,,,,
P3707,Ekonomika a řízení v dopravě a spojích,,,,,
P3708,Dopravní inženýrství a spoje,,,,,
P3709,Dopravní technologie a spoje,,,,,
P3710,Technika a technologie v dopravě a spojích,,,,,
P3711,Automatizace a řízení v dopravě a spojích,,,,,
